abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Accession:320228,,https://api.dc.library.northwestern.edu/api/v2/works/b0cbba7b-84ae-47a0-a162-4dedea89c043,Work,ark:/81985/n2bv7b68f,,,,https://dc.library.northwestern.edu/items/b0cbba7b-84ae-47a0-a162-4dedea89c043,Le cortege de la vache enragée,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Job, 1858-1931|Kolb, Eugene (Editor)",2021-03-16T14:18:37.299384Z,Yves et Barret,,,"March 22, 1884",,inu-dil-fe9cefd5-3797-4458-885d-25aaf0d26a8e.tif,,,caricatures,b0cbba7b-84ae-47a0-a162-4dedea89c043,,https://api.dc.library.northwestern.edu/api/v2/works/b0cbba7b-84ae-47a0-a162-4dedea89c043?as=iiif,2023-02-20T16:13:06.311675,None,None,,French,inu:dil-fe9cefd5-3797-4458-885d-25aaf0d26a8e,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/1a88f0d7-c767-414c-b4b9-7e821aae624f,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b0cbba7b-84ae-47a0-a162-4dedea89c043/thumbnail,"La Caricature, no 221 (22 mars 1884), supplément",Public,Image
,Accession:320263,,https://api.dc.library.northwestern.edu/api/v2/works/b29b7eff-5bc3-48dd-812f-227b9012a551,Work,ark:/81985/n20r9mg1k,,,,https://dc.library.northwestern.edu/items/b29b7eff-5bc3-48dd-812f-227b9012a551,La cavalerie Allemande,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Caran d'Ache, 1859-1909|Caran d'Ache, 1859-1909|Kolb, Eugene (Editor)",2021-03-16T14:28:33.256649Z,,,,"November 1, 1884",,inu-dil-75634b5e-2294-46b3-a1ac-9f2b2e8e70d0.tif,,,caricatures,b29b7eff-5bc3-48dd-812f-227b9012a551,,https://api.dc.library.northwestern.edu/api/v2/works/b29b7eff-5bc3-48dd-812f-227b9012a551?as=iiif,2023-02-20T16:13:15.456159,None,None,,French,inu:dil-75634b5e-2294-46b3-a1ac-9f2b2e8e70d0,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/77a19d96-c1f3-45ac-9822-671d368a2100,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b29b7eff-5bc3-48dd-812f-227b9012a551/thumbnail,"La Caricature, no 253 (1 novembre 1884), cover",Public,Image
,Accession:320454,,https://api.dc.library.northwestern.edu/api/v2/works/b2e6ab27-ea03-42e2-ab92-3ea8428a341b,Work,ark:/81985/n2pg1j069,,,,https://dc.library.northwestern.edu/items/b2e6ab27-ea03-42e2-ab92-3ea8428a341b,La genèse du commeux,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Morin, Louis|Morin, Louis|Kolb, Eugene (Editor)",2021-03-16T14:30:08.718907Z,,,,"December 10, 1881",,inu-dil-283b5358-5941-407f-93c8-eb179325eb07.tif,,,caricatures,b2e6ab27-ea03-42e2-ab92-3ea8428a341b,,https://api.dc.library.northwestern.edu/api/v2/works/b2e6ab27-ea03-42e2-ab92-3ea8428a341b?as=iiif,2023-02-20T16:13:16.004508,None,None,,French,inu:dil-283b5358-5941-407f-93c8-eb179325eb07,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/13bfeca4-97c2-45c1-b871-33eaea7af2d5,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b2e6ab27-ea03-42e2-ab92-3ea8428a341b/thumbnail,"La Caricature, no 102 (10 décembre 1881), cover",Public,Image
,Accession:320248,,https://api.dc.library.northwestern.edu/api/v2/works/b31d7cc8-fb5e-48a6-b411-2f0f013e5bef,Work,ark:/81985/n22j68g68,,,,https://dc.library.northwestern.edu/items/b31d7cc8-fb5e-48a6-b411-2f0f013e5bef,La science pour rire. La physique,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Kolb, Eugene (Editor)",2021-03-16T14:31:18.862584Z,"Draner, 1833-1926|Yves et Barret",,,"August 9, 1884",,inu-dil-ca788de3-2739-4a59-9d7f-6f3dfba33008.tif,,,caricatures,b31d7cc8-fb5e-48a6-b411-2f0f013e5bef,,https://api.dc.library.northwestern.edu/api/v2/works/b31d7cc8-fb5e-48a6-b411-2f0f013e5bef?as=iiif,2023-02-20T16:13:18.021576,None,None,,French,inu:dil-ca788de3-2739-4a59-9d7f-6f3dfba33008,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/7f718749-e332-4930-ba74-bfd3c09b8d1a,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b31d7cc8-fb5e-48a6-b411-2f0f013e5bef/thumbnail,"La Caricature, no 241 (9 août 1884), cover",Public,Image
,Accession:319896,,https://api.dc.library.northwestern.edu/api/v2/works/b38a5326-3fd2-44cf-8093-4680e8ba57ff,Work,ark:/81985/n23r0q54r,,,,https://dc.library.northwestern.edu/items/b38a5326-3fd2-44cf-8093-4680e8ba57ff,Fin Causeur,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Guillaume, Albert|Kolb, Eugene (Editor)",2021-03-16T14:33:39.417655Z,"Parrizy, Sc",,,"December 26, 1891",,inu-dil-6cb3faef-e4a4-4dc4-9b71-1e62122948fd.tif,,,caricatures,b38a5326-3fd2-44cf-8093-4680e8ba57ff,,https://api.dc.library.northwestern.edu/api/v2/works/b38a5326-3fd2-44cf-8093-4680e8ba57ff?as=iiif,2023-02-20T16:13:20.545544,None,None,,French,inu:dil-6cb3faef-e4a4-4dc4-9b71-1e62122948fd,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/cb109edf-cede-45a7-9b5a-bf3c0439695b,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b38a5326-3fd2-44cf-8093-4680e8ba57ff/thumbnail,"La Caricature, année 12, no 626 (26 décembre 1891), cover",Public,Image
,Accession:320149,,https://api.dc.library.northwestern.edu/api/v2/works/b460abcc-cb76-4810-8814-74e14952c2da,Work,ark:/81985/n2wd3qc86,,,,https://dc.library.northwestern.edu/items/b460abcc-cb76-4810-8814-74e14952c2da,Actualités Parisiennes,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Kolb, Eugene (Editor)",2021-03-16T14:38:00.378316Z,"Draner, 1833-1926",,,"November 13, 1886",,inu-dil-d6e89cdf-0f06-46bc-b326-743eda9c104b.tif,,,caricatures,b460abcc-cb76-4810-8814-74e14952c2da,,https://api.dc.library.northwestern.edu/api/v2/works/b460abcc-cb76-4810-8814-74e14952c2da?as=iiif,2023-02-20T16:13:24.173867,None,None,,French,inu:dil-d6e89cdf-0f06-46bc-b326-743eda9c104b,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/b080af35-3527-431e-991e-3ceab9ab6cb5,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b460abcc-cb76-4810-8814-74e14952c2da/thumbnail,"La Caricature, no 359 (13 novembre 1886), cover",Public,Image
,Accession:319963,,https://api.dc.library.northwestern.edu/api/v2/works/b4b7b642-f5ba-4716-9308-fd98ef493101,Work,ark:/81985/n2rr1pz7c,,,,https://dc.library.northwestern.edu/items/b4b7b642-f5ba-4716-9308-fd98ef493101,Nos Bien Dévoués Serviteurs,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Kolb, Eugene (Editor)",2021-03-16T14:39:48.006045Z,"Draner, 1833-1926",,,"June 15, 1889",,inu-dil-5962c4fd-be94-45c5-8007-67e6d68076eb.tif,,,caricatures,b4b7b642-f5ba-4716-9308-fd98ef493101,,https://api.dc.library.northwestern.edu/api/v2/works/b4b7b642-f5ba-4716-9308-fd98ef493101?as=iiif,2023-02-20T16:13:24.881548,None,None,,French,inu:dil-5962c4fd-be94-45c5-8007-67e6d68076eb,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/7a878023-064d-408a-8f0e-8c023d7dfa6e,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b4b7b642-f5ba-4716-9308-fd98ef493101/thumbnail,"La Caricature, no 494 (15 juin 1889), cover",Public,Image
,Accession:319878,,https://api.dc.library.northwestern.edu/api/v2/works/b61307c0-c213-4c1e-8cb1-a1ebf1198207,Work,ark:/81985/n2sb3x966,,,,https://dc.library.northwestern.edu/items/b61307c0-c213-4c1e-8cb1-a1ebf1198207,Retoqué,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Kolb, Eugene (Editor)",2021-03-16T14:48:01.582449Z,"Draner, 1833-1926",,,"August 1, 1891",,inu-dil-c6fe58fa-88bd-4fcb-8057-e43708013af2.tif,,,caricatures,b61307c0-c213-4c1e-8cb1-a1ebf1198207,,https://api.dc.library.northwestern.edu/api/v2/works/b61307c0-c213-4c1e-8cb1-a1ebf1198207?as=iiif,2023-02-20T16:13:36.088630,None,None,,French,inu:dil-c6fe58fa-88bd-4fcb-8057-e43708013af2,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/642a7939-d8df-4731-b3dd-83fa3700e7d2,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b61307c0-c213-4c1e-8cb1-a1ebf1198207/thumbnail,"La Caricature, année 12, no 605 (1 août 1891), cover",Public,Image
,Accession:320351,,https://api.dc.library.northwestern.edu/api/v2/works/b7c9d9fc-2ee2-443a-9642-c1826a57fa87,Work,ark:/81985/n2n01052v,,,,https://dc.library.northwestern.edu/items/b7c9d9fc-2ee2-443a-9642-c1826a57fa87,"La confraternité littéraire, artistique, mondaine et autres",994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Robida, Albert, 1848-1926|Robida, Albert, 1848-1926|Kolb, Eugene (Editor)|Robida, Albert, 1848-1926",2021-03-16T14:58:34.225839Z,,,,"February 25, 1882",,inu-dil-4b1d82ec-5041-4cf2-917f-c47f9e09b6d2.tif,,,caricatures,b7c9d9fc-2ee2-443a-9642-c1826a57fa87,,https://api.dc.library.northwestern.edu/api/v2/works/b7c9d9fc-2ee2-443a-9642-c1826a57fa87?as=iiif,2023-02-20T16:13:43.040831,None,None,,French,inu:dil-4b1d82ec-5041-4cf2-917f-c47f9e09b6d2,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/98e77ea0-d487-47f5-83ea-4057cf5ccb49,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b7c9d9fc-2ee2-443a-9642-c1826a57fa87/thumbnail,"La Caricature, no 113 (25 février 1882), cover",Public,Image
,Accession:319821,,https://api.dc.library.northwestern.edu/api/v2/works/bb48813f-e441-487f-911f-6e9083bbe2da,Work,ark:/81985/n2901zt3b,,,,https://dc.library.northwestern.edu/items/bb48813f-e441-487f-911f-6e9083bbe2da,Jalousie,994711864202441,"La Caricature (1880-1893, 1899; Albert Robida, founding editor)","Luque, Manuel, 1854-|Kolb, Eugene (Editor)",2021-03-16T15:18:13.111825Z,,,,"April 9, 1892",,inu-dil-fb2ab216-14b0-4f1d-bc45-46a2b7d2ec79.tif,,,caricatures,bb48813f-e441-487f-911f-6e9083bbe2da,,https://api.dc.library.northwestern.edu/api/v2/works/bb48813f-e441-487f-911f-6e9083bbe2da?as=iiif,2023-02-20T16:13:56.603323,None,None,,French,inu:dil-fb2ab216-14b0-4f1d-bc45-46a2b7d2ec79,Charles Deering McCormick Library of Special Collections,None,France--Paris,2021-06-10T16:43:09.761465Z,,,40 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11735'}",,True,Au Bureau du Journal,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/f0100e4f-49a4-4884-9a23-2242764d364b,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Satire, French|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/bb48813f-e441-487f-911f-6e9083bbe2da/thumbnail,"La Caricature, année 13, no 641 (9 avril 1892), cover",Public,Image
