abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:b8515p03c,,https://api.dc.library.northwestern.edu/api/v2/works/681d0cfa-eb76-451b-8bdc-7c370d06d1a0,Work,ark:/81985/n2rr1s62b,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/681d0cfa-eb76-451b-8bdc-7c370d06d1a0,,,Dedication of the Melville J. Herskovits Library of African Studies,,2022-01-21T06:27:06.386669Z,"Stuckey, Sterling",39ca4ce3-4898-47d2-b701-53d6f5692d9c|696acb95-8cbb-4f90-9534-1ee30d8cbe55,,"October 20, 1970","Dedication of the Melville J. Herskovits Library of African Studies, Northwestern University Library Forum Room",AFR22_6.wav|7w62f825p/b8515p03c.mods.xml,,,,681d0cfa-eb76-451b-8bdc-7c370d06d1a0,AFR 22,https://api.dc.library.northwestern.edu/api/v2/works/681d0cfa-eb76-451b-8bdc-7c370d06d1a0?as=iiif,2023-02-20T16:35:40.894428,AVR Migration,avr_migration.csv,,English,b8515p03c,Herskovits Library of African Studies,None,,2022-03-04T19:43:27.522158Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Melville J. Herskovits Library of African Studies|Northwestern University (Evanston, Ill.)|Evanston (Ill.)",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/681d0cfa-eb76-451b-8bdc-7c370d06d1a0/thumbnail,"Sterling Stuckey, address",Institution,Audio
,avr:8910jv22z,,https://api.dc.library.northwestern.edu/api/v2/works/df5beeba-2b2e-42f8-a9fd-cc105263a308,Work,ark:/81985/n2bv7dd7g,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/df5beeba-2b2e-42f8-a9fd-cc105263a308,,,Dedication of the Melville J. Herskovits Library of African Studies,,2022-01-21T06:18:23.454003Z,"Buckman, Thomas R.",39ca4ce3-4898-47d2-b701-53d6f5692d9c|696acb95-8cbb-4f90-9534-1ee30d8cbe55,,"October 20, 1970","Dedication of the Melville J. Herskovits Library of African Studies, Northwestern University Library Forum Room",AFR22_1.wav|7w62f825p/8910jv22z.mods.xml,,,,df5beeba-2b2e-42f8-a9fd-cc105263a308,AFR 22,https://api.dc.library.northwestern.edu/api/v2/works/df5beeba-2b2e-42f8-a9fd-cc105263a308?as=iiif,2023-02-20T16:33:01.520193,AVR Migration,avr_migration.csv,,English,8910jv22z,Herskovits Library of African Studies,None,,2022-03-04T19:43:27.545355Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Melville J. Herskovits Library of African Studies|Northwestern University (Evanston, Ill.)|Evanston (Ill.)",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/df5beeba-2b2e-42f8-a9fd-cc105263a308/thumbnail,"Thomas R. Buckman, opening remarks",Institution,Audio
,avr:5x21tg20w,,https://api.dc.library.northwestern.edu/api/v2/works/7a187085-6f46-47e3-8341-9dc1185acebd,Work,ark:/81985/n2n875h8b,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/7a187085-6f46-47e3-8341-9dc1185acebd,,,Dedication of the Melville J. Herskovits Library of African Studies,,2022-01-21T06:14:37.094923Z,"Ngugi, James",39ca4ce3-4898-47d2-b701-53d6f5692d9c|696acb95-8cbb-4f90-9534-1ee30d8cbe55,,"October 20, 1970","Dedication of the Melville J. Herskovits Library of African Studies, Northwestern University Library Forum Room",AFR22_2.wav|7w62f825p/5x21tg20w.mods.xml,,,,7a187085-6f46-47e3-8341-9dc1185acebd,AFR 22,https://api.dc.library.northwestern.edu/api/v2/works/7a187085-6f46-47e3-8341-9dc1185acebd?as=iiif,2023-02-20T16:37:56.859523,AVR Migration,avr_migration.csv,,English,5x21tg20w,Herskovits Library of African Studies,None,,2022-03-04T19:43:27.529587Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Melville J. Herskovits Library of African Studies|Northwestern University (Evanston, Ill.)|Evanston (Ill.)",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7a187085-6f46-47e3-8341-9dc1185acebd/thumbnail,"James Ngugi, opening remarks",Institution,Audio
,avr:ms35t927m,,https://api.dc.library.northwestern.edu/api/v2/works/c07bdaf2-1025-4712-94ea-5a229f8b4868,Work,ark:/81985/n23r0sb6s,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/c07bdaf2-1025-4712-94ea-5a229f8b4868,,,Dedication of the Melville J. Herskovits Library of African Studies,,2022-01-21T06:08:33.227564Z,"Bascomb, William",39ca4ce3-4898-47d2-b701-53d6f5692d9c|696acb95-8cbb-4f90-9534-1ee30d8cbe55,,"October 20, 1970","Dedication of the Melville J. Herskovits Library of African Studies, Northwestern University Library Forum Room",AFR22_5.wav|7w62f825p/ms35t927m.mods.xml,,,,c07bdaf2-1025-4712-94ea-5a229f8b4868,AFR 22,https://api.dc.library.northwestern.edu/api/v2/works/c07bdaf2-1025-4712-94ea-5a229f8b4868?as=iiif,2023-02-20T16:29:25.761974,AVR Migration,avr_migration.csv,,English,ms35t927m,Herskovits Library of African Studies,None,,2022-03-04T19:43:27.540306Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Melville J. Herskovits Library of African Studies|Northwestern University (Evanston, Ill.)|Evanston (Ill.)",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c07bdaf2-1025-4712-94ea-5a229f8b4868/thumbnail,"William Bascom, address",Institution,Audio
,avr:v979v367r,,https://api.dc.library.northwestern.edu/api/v2/works/1fe397b7-4910-4ec9-b319-5af3bf347468,Work,ark:/81985/n29c6vj6n,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/1fe397b7-4910-4ec9-b319-5af3bf347468,,,Dedication of the Melville J. Herskovits Library of African Studies,,2022-01-21T06:09:30.734308Z,unknown,696acb95-8cbb-4f90-9534-1ee30d8cbe55|39ca4ce3-4898-47d2-b701-53d6f5692d9c,,"October 20, 1970","Dedication of the Melville J. Herskovits Library of African Studies, Northwestern University Library Forum Room",AFR22_7.wav|7w62f825p/v979v367r.mods.xml,,,,1fe397b7-4910-4ec9-b319-5af3bf347468,AFR 22,https://api.dc.library.northwestern.edu/api/v2/works/1fe397b7-4910-4ec9-b319-5af3bf347468?as=iiif,2023-02-20T16:29:40.880551,AVR Migration,avr_migration.csv,,English,v979v367r,Herskovits Library of African Studies,None,,2022-03-04T19:43:27.427565Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Melville J. Herskovits Library of African Studies|Northwestern University (Evanston, Ill.)|Evanston (Ill.)",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/1fe397b7-4910-4ec9-b319-5af3bf347468/thumbnail,Unidentified speaker's closing comments,Institution,Audio
,avr:xs55mc68r,,https://api.dc.library.northwestern.edu/api/v2/works/ebaea90d-5025-4082-a171-3381699c0f77,Work,ark:/81985/n29z92x43,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/ebaea90d-5025-4082-a171-3381699c0f77,,,Dedication of the Melville J. Herskovits Library of African Studies,,2022-01-21T06:23:59.882574Z,"Buckman, Thomas R.",696acb95-8cbb-4f90-9534-1ee30d8cbe55|39ca4ce3-4898-47d2-b701-53d6f5692d9c,,"October 20, 1970","Dedication of the Melville J. Herskovits Library of African Studies, Northwestern University Library Forum Room",AFR22_3.wav|7w62f825p/xs55mc68r.mods.xml,,,,ebaea90d-5025-4082-a171-3381699c0f77,AFR 22,https://api.dc.library.northwestern.edu/api/v2/works/ebaea90d-5025-4082-a171-3381699c0f77?as=iiif,2023-02-20T16:31:37.303988,AVR Migration,avr_migration.csv,,English,xs55mc68r,Herskovits Library of African Studies,None,,2022-03-04T19:43:27.549580Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Melville J. Herskovits Library of African Studies|Northwestern University (Evanston, Ill.)|Evanston (Ill.)",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/ebaea90d-5025-4082-a171-3381699c0f77/thumbnail,"Thomas R. Buckman, closing remarks",Institution,Audio
,avr:hh63sw440,,https://api.dc.library.northwestern.edu/api/v2/works/317331aa-b9d9-4f8b-89aa-5ecabd9e2a59,Work,ark:/81985/n2kp7x969,71389210-ab38-48b7-937b-a610d428c06e|c86e85f1-ddd9-423c-a033-bb442b949c2a,,,https://dc.library.northwestern.edu/items/317331aa-b9d9-4f8b-89aa-5ecabd9e2a59,,,Dedication of the Melville J. Herskovits Library of African Studies,,2022-01-21T06:21:49.693238Z,unknown,39ca4ce3-4898-47d2-b701-53d6f5692d9c|696acb95-8cbb-4f90-9534-1ee30d8cbe55,,"October 20, 1970","Dedication of the Melville J. Herskovits Library of African Studies, Northwestern University Library Forum Room",AFR22_4.wav|7w62f825p/hh63sw440.mods.xml,,,,317331aa-b9d9-4f8b-89aa-5ecabd9e2a59,AFR 22,https://api.dc.library.northwestern.edu/api/v2/works/317331aa-b9d9-4f8b-89aa-5ecabd9e2a59?as=iiif,2023-02-20T16:37:43.489475,AVR Migration,avr_migration.csv,,English,hh63sw440,Herskovits Library of African Studies,None,,2022-03-04T19:43:27.515674Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Melville J. Herskovits Library of African Studies|Northwestern University (Evanston, Ill.)|Evanston (Ill.)",,,"The audio recordings on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/317331aa-b9d9-4f8b-89aa-5ecabd9e2a59/thumbnail,Unidentified speaker's introduction,Institution,Audio
