abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
"The Piven Theatre Workshop, a theatre educational center and professional theatre company in Evanston, Illinois, was founded by Joyce and Byrne Piven. The Records include the Piven Theatre Company’s production and events files, photographs, teaching materials, public relations material, Joyce Piven’s subject files, audiovisual recordings, project grant files, and posters.",J0508-PIVEN-B29F48,,https://api.dc.library.northwestern.edu/api/v2/works/344e25f7-2652-430c-9b4e-aba12af779d5,Work,ark:/81985/n22n5238g,74042eee-ab94-4830-9e01-75cf93bc0f6d|9f844e3c-e96d-4f28-a729-b91952b3cbea|b81020ec-e307-4060-a728-e7ca2a9af280,,29,https://dc.library.northwestern.edu/items/344e25f7-2652-430c-9b4e-aba12af779d5,,,Records of the Piven Theatre Workshop,Piven Theatre Workshop,2022-02-14T17:51:35.200091Z,,,,1998,,tape 1 of 1|tape 1 of 1|tape 1 of 1 technical metadata file|tape 1 of 1 framemd5 file|tape 1 of 1 QCTools report,,48,,344e25f7-2652-430c-9b4e-aba12af779d5,55/53|Folder 48,https://api.dc.library.northwestern.edu/api/v2/works/344e25f7-2652-430c-9b4e-aba12af779d5?as=iiif,2023-02-20T16:22:58.648151,J0508-Piven Theatre Orlando VHS,J0508-Piven_Theatre-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-03-03T19:41:16.243741Z,,MP4,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Piven Theatre Orlando VHS', 'proposer': 'Jason Nargis', 'task_number': 'J0508'}","The Piven Theatre Workshop donated the collection to the Northwestern University Archives on June 25, 2013 (Accession #13-137), with additional accessions numbered 13-174, 13-241, 14-136, 15-104, 16-168, 17-183, 17-271.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/3a58ad3c-2f5f-4c55-b0f1-d440c6eb71b2,,In Copyright - Educational Use Permitted,"The records include the Piven Theatre Company’s production and events files, photographs, teaching materials, public relations material, Joyce Piven’s subject files, audiovisual recordings, project grant files, and posters.","Records of the Piven Theatre Workshop (55/53) -- 1984-2007 Videocassettes, 1984 - 2007 -- Orlando (6/28), 1998",,Done,,Improvisation (Acting)--Study and teaching|Second City (Theater company)|Theater--Production and direction|Theater--Study and teaching|Theatrical companies,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/344e25f7-2652-430c-9b4e-aba12af779d5/thumbnail,Orlando (6/28),Institution,Video
"The Piven Theatre Workshop, a theatre educational center and professional theatre company in Evanston, Illinois, was founded by Joyce and Byrne Piven. The Records include the Piven Theatre Company’s production and events files, photographs, teaching materials, public relations material, Joyce Piven’s subject files, audiovisual recordings, project grant files, and posters.",J0508-PIVEN-B29F47,,https://api.dc.library.northwestern.edu/api/v2/works/69808918-bcf0-4a70-ba32-9071014d0233,Work,ark:/81985/n26d5rx2f,74042eee-ab94-4830-9e01-75cf93bc0f6d|9f844e3c-e96d-4f28-a729-b91952b3cbea|b81020ec-e307-4060-a728-e7ca2a9af280,,29,https://dc.library.northwestern.edu/items/69808918-bcf0-4a70-ba32-9071014d0233,,,Records of the Piven Theatre Workshop,Piven Theatre Workshop,2022-02-14T17:51:34.572492Z,,,,1998,,tape 1 of 1|tape 1 of 1|tape 1 of 1 technical metadata file|tape 1 of 1 framemd5 file|tape 1 of 1 QCTools report,,47,,69808918-bcf0-4a70-ba32-9071014d0233,55/53|Folder 47,https://api.dc.library.northwestern.edu/api/v2/works/69808918-bcf0-4a70-ba32-9071014d0233?as=iiif,2023-02-20T16:22:58.661780,J0508-Piven Theatre Orlando VHS,J0508-Piven_Theatre-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-03-03T16:23:38.708564Z,,MP4,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Piven Theatre Orlando VHS', 'proposer': 'Jason Nargis', 'task_number': 'J0508'}","The Piven Theatre Workshop donated the collection to the Northwestern University Archives on June 25, 2013 (Accession #13-137), with additional accessions numbered 13-174, 13-241, 14-136, 15-104, 16-168, 17-183, 17-271.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/2dbcfbbf-1ab7-475f-af88-34e368f4ea2d,,In Copyright - Educational Use Permitted,"The records include the Piven Theatre Company’s production and events files, photographs, teaching materials, public relations material, Joyce Piven’s subject files, audiovisual recordings, project grant files, and posters.","Records of the Piven Theatre Workshop (55/53) -- 1984-2007 Videocassettes, 1984 - 2007 -- “Orlando” Master (6/28), 1998",,Done,,Improvisation (Acting)--Study and teaching|Second City (Theater company)|Theater--Production and direction|Theater--Study and teaching|Theatrical companies,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/69808918-bcf0-4a70-ba32-9071014d0233/thumbnail,“Orlando” Master (6/28),Institution,Video
